ID;RA;Compuesto;Concentración;Cantidad
T1-3;2;DHZ;0,7089124757;0,5167000552
T1-3;3;DHZ;0,6548353257;0,4772852228
Ff-4;1;DHZ;0,5222521948;0,3912978482
Ff-4;2;DHZ;0,5536925512;0,4148545589
Ff-4;3;DHZ;0,5352271047;0,4010193092
Ff-5;1;DHZ;0,2834267093;0,209325487
Ff-5;2;DHZ;0,2947647474;0,2176992226
Ff-5;3;DHZ;0,2955854645;0,2183053652
Ff-3;1;DHZ;0,6096521804;0,4342251998
Ff-3;2;DHZ;0,5704512517;0,4063043103
Ff-3;3;DHZ;0,6246660042;0,4449188064
Ff-1;1;DHZ;0,8447066899;0,6056692327
Ff-1;2;DHZ;0,8046531765;0,5769501743
Ff-1;3;DHZ;0,8258450438;0,5921451079
Ff-2;1;DHZ;0,2539892586;0,1833416207
Ff-2;2;DHZ;0,2109237228;0,1522548528
Ff-2;3;DHZ;0,2598181701;0,1875492084
T1-4;1;RDHZ;18,1179659099;13,4739458923
T1-4;2;RDHZ;17,8937128634;13,3071736713
T1-4;3;RDHZ;17,9164375625;13,3240735468
T1-5;1;RDHZ;17,7992008654;12,8668921919
T1-5;2;RDHZ;17,9336028086;12,9640502231
T1-5;3;RDHZ;17,9978857454;13,0105198159
T1-2;1;RDHZ;17,8726539325;13,1545539248
T1-2;2;RDHZ;17,8276048398;13,1213970852
T1-2;3;RDHZ;17,7972306903;13,0990412343
T1-1;1;RDHZ;17,9075423993;13,1931795673
T1-1;2;RDHZ;17,8172416863;13,1266515371
T1-1;3;RDHZ;17,9162782864;13,1996156334
T1-3;1;RDHZ;18,3875261157;13,4019869648
T1-3;2;RDHZ;18,7252184047;13,6481183708
T1-3;3;RDHZ;18,453315154;13,4499381589
Ff-4;1;RDHZ;17,5952377496;13,1832450672
Ff-4;2;RDHZ;17,6745682018;13,2426834678
Ff-4;3;RDHZ;17,7317273989;13,2855100391
Ff-5;1;RDHZ;17,6480093142;13,0339802912
Ff-5;2;RDHZ;17,7245162807;13,0904846977
Ff-5;3;RDHZ;17,6586563141;13,0418436589
Ff-3;1;RDHZ;17,5978104555;12,534053031
Ff-3;2;RDHZ;17,5639988054;12,5099706591
Ff-3;3;RDHZ;17,733304939;12,6305590733
Ff-1;1;RDHZ;18,4273013949;13,2126922048
Ff-1;2;RDHZ;18,2288717555;13,0704147387
Ff-1;3;RDHZ;18,4730523667;13,2454964388
Ff-2;1;RDHZ;17,9300522547;12,9427711174
Ff-2;2;RDHZ;18,147954129;13,1000631345
Ff-2;3;RDHZ;17,6748378421;12,7585451218
T1-4;1;IP;0,5852122739;0,4352099211
T1-4;2;IP;0,7555824234;0,5619105776
T1-4;3;IP;0,6393410795;0,4754643625
T1-5;1;IP;0,6910111712;0,4995261478
T1-5;2;IP;0,7408672097;0,5355666576
T1-5;3;IP;0,6449056175;0,4661968319
T1-2;1;IP;0,7836040013;0,5767448489
T1-2;2;IP;0,7349564081;0,5409394564
T1-2;3;IP;0,7321528701;0,5388760084
T1-1;1;IP;0,5379789637;0,3963499241
T1-1;2;IP;0,5130381439;0,3779750569
T1-1;3;IP;0,5062252704;0,3729557493
T1-3;1;IP;1,3684961759;0,9974461924
T1-3;2;IP;1,3615144419;0,9923574649
T1-3;3;IP;1,3149545224;0,9584216635
Ff-4;1;IP;9,2281020074;6,9141623432
Ff-4;2;IP;9,2043582916;6,8963723463
Ff-4;3;IP;9,2790080447;6,9523037298
Ff-5;1;IP;15,9581468453;11,7859282461
Ff-5;2;IP;15,6146110144;11,532209021
Ff-5;3;IP;15,9121321281;11,7519439646
Ff-3;1;IP;7,186882714;5,1188623319
Ff-3;2;IP;7,124844241;5,0746753853
Ff-3;3;IP;7,1787572875;5,1130749911
Ff-1;1;IP;8,3568254627;5,9919876645
Ff-1;2;IP;8,5180121663;6,1075613047
Ff-1;3;IP;8,5229120063;6,1110745743
Ff-2;1;IP;10,4166812588;7,5192598114
Ff-2;2;IP;10,5290581718;7,6003788535
Ff-2;3;IP;10,5204719966;7,5941809408
T1-4;1;IPA;2,8261488808;2,1017468127
T1-4;2;IPA;2,5582248575;1,9024974151
T1-4;3;IPA;2,7101688229;2,0154949104
T1-5;1;IPA;0,8319536306;0,6014122631
T1-5;2;IPA;1,0470537894;0,7569063538
T1-5;3;IPA;0,9609848098;0,6946878143
T1-2;1;IPA;2,5424500962;1,8712831915
T1-2;2;IPA;NA;NA
T1-2;3;IPA;2,6887578029;1,9789679609
T1-1;1;IPA;1,32062551;0,9729559259
T1-1;2;IPA;1,1684092414;0,8608123095
T1-1;3;IPA;1,2811311575;0,9438589078
T1-3;1;IPA;2,7717579934;2,0202317736
T1-3;2;IPA;2,6895203805;1,9602918225
T1-3;3;IPA;2,7303749081;1,990069175
Ff-4;1;IPA;35,5366114721;26,6258327713
Ff-4;2;IPA;34,7778654578;26,0573417516
Ff-4;3;IPA;36,4875606639;27,3383321657
Ff-5;1;IPA;21,632974567;15,9770860908
Ff-5;2;IPA;21,2670472537;15,7068295818
Ff-5;3;IPA;21,4617180451;15,8506041692
